Frequency (Hz),Trace 3 (?),Phase (deg),Trace 4 (?),Phase (deg)
0,0.0002526702900027554,59.967691641480336,0.00027498562182171364,80.77185508663173
4.8828125,0.0002285460390291528,5.443628685786234,0.00030216208927582916,115.77086808008251
9.765625,0.0007765730003045898,113.07897112851802,0.0003514954300765989,133.0549672691676
14.6484375,0.000445438512363004,167.87921079273582,0.0005667582122272438,133.65250258574193
19.53125,0.0002728030084880706,165.70006670944113,0.00024564463804176617,111.5098877726496
24.4140625,0.00031886882501392337,175.4173720115709,0.0002888418472412896,42.37054095130145
29.296875,0.0002477181503272136,156.60891989327072,0.00015342016018175187,134.85420207547685
34.1796875,0.0003433531096627112,133.5864041732171,0.00034455053852011094,133.473621625789
39.0625,0.0007254701605631478,127.85039394213294,0.000347853165482798,98.28557425459472
43.9453125,0.00012151223704874002,179.6670965015183,0.0002877289673538005,47.07628113631969
48.828125,0.0002692983587579929,17.921604658384297,7.366193696069224e-05,152.4639538917764
53.7109375,0.0011028735028070383,97.2977898798934,0.0002811327206987882,86.90624458556307
58.59375,0.004780994520888707,7.288896096544572,0.0001921364261210862,27.922554903859382
63.4765625,0.0021774413871455856,125.33871859656948,0.0002226255638238473,112.42423860705124
68.359375,0.0006884163906810762,65.27465902752103,6.617699887372318e-05,48.56232924235843
73.2421875,0.0009719936439882917,159.47321566585256,8.718667595914341e-05,129.14397809289852
78.125,0.00028942206748297457,98.23041260545527,0.0004514914506422789,110.54175911388438
83.0078125,6.268017844223504e-05,62.612392560465736,0.000428444866370199,101.51428106941715
87.890625,0.0007408011562416682,138.03915862626067,0.0009304803993223118,36.41712121229214
92.7734375,0.0004564621134197676,140.90807983926373,0.0011618339916891444,127.10110957719397
97.65625,0.0008025775815318695,130.0443686465565,0.0011866705498349377,122.81930896175155
102.5390625,0.0009659096561954088,173.5841675644778,0.0007093043653420672,70.40491413877531
107.421875,0.0005975010911540192,17.928622565286293,0.0003600575553961831,41.41656604584356
112.3046875,0.00020181685151589797,4.042302983899002,0.00037932629216351276,146.3109107195131
117.1875,0.00040843629541000286,92.47942821950193,0.00047109560688947703,62.61592640350571
122.0703125,0.00035007609737546154,50.9608029528441,0.00027607864829518546,49.03034651337435
126.953125,0.001378515615941253,13.288161850830837,0.0002990887916248519,140.64418578194443
131.8359375,0.002130192937169097,164.71187105280228,0.00036087273127035366,23.586977615815066
136.71875,0.0033836347737221913,105.2708203194738,0.00039954043480591316,81.89168202542334
